Genre,Artists returned,Artists written
turkish_rock,225,156
turntablism,211,204
twee_indie_pop,169,105
twee_pop,237,230
twin_cities_indie,115,72
tzadik,92,86
uk_dub,98,26
uk_garage,141,104
uk_hip_hop,145,74
uk_post-punk,250,246
ukrainian_rock,81,49
ukulele,44,30
unblack_metal,67,42
underground_hip_hop,276,273
underground_latin_hip_hop,36,23
underground_pop_rap,99,70
underground_power_pop,199,153
underground_rap,119,98
uplifting_trance,275,187
urban_contemporary,351,351
vallenato,119,80
vancouver_indie,122,103
vapor_house,69,8
vaporwave,97,56
vegan_straight_edge,176,140
vegas_indie,22,8
velha_guarda,192,169
venezuelan_rock,97,49
video_game_music,172,101
vienna_indie,143,55
vietnamese_pop,101,36
viking_metal,241,217
vintage_chanson,160,100
vintage_country_folk,162,112
vintage_gospel,143,45
vintage_jazz,87,54
vintage_reggae,103,31
vintage_rockabilly,138,41
vintage_schlager,157,76
vintage_swedish_pop,163,88
vintage_swing,91,49
vintage_swoon,58,16
vintage_tango,128,80
vintage_western,143,62
violin,114,86
viral_pop,87,76
visual_kei,207,194
vocal_house,217,205
vocal_jazz,243,240
vocaloid,143,24
volksmusik,176,101
warm_drone,214,132
welsh_rock,141,90
west_african_jazz,91,54
west_coast_rap,217,209
western_swing,192,176
wind_ensemble,44,18
witch_house,105,42
wonky,206,120
workout,3,1
world,205,183
world_chill,164,82
world_christmas,206,192
world_fusion,136,122
worship,261,240
wrestling,29,10
wrock,46,22
ye_ye,162,86
yoik,37,21
yugoslav_rock,182,151
zeuhl,170,137
zillertal,52,11
zim,40,15
zolo,104,91
zouglo,51,26
zouk,139,61
zydeco,159,120
